HOA,address,baths,beds,desc,homeOwnersInsurance,listingStatus,lotSize,mainImage,mlsNumber,parking,price,pricePerSqft,principalInterest,propertyTax,propertyType,rentalEarnings,scrapeDate,source,sqft,url,yearBuilt,rentalEarningsRawResponse,rentalLow,rentalHigh,rentalEarningsSource
$1/mo,"1110 B 34th Ave, Seattle, WA 98122",2,2,"Listing at 1110 B 34th Ave, Seattle, WA 98122",232,For sale,807 sq ft,https://ssl.cdn-redfin.com/photo/1/bigphoto/553/2426553_0.jpg,#2426553,,845000,$711 ,"$4,385 ",0,Single Family,3240,2025-09-03T01:09:29.584Z,Redfin,1188,https://www.redfin.com/WA/Seattle/1110-34th-Ave-98122/home/197503000,2025,[object Object],2600,3880,RentCast
$589/mo,"1610 Belmont Ave #407, Seattle, WA 98122",1,1,"Listing at 1610 Belmont Ave #407, Seattle, WA 98122",109,For sale,,https://ssl.cdn-redfin.com/photo/1/bigphoto/671/2425671_2.jpg,#2425671,1 car garage,395000,$669 ,"$2,050 ",293,Condo,1817,2025-09-03T01:09:52.223Z,Redfin,590,https://www.redfin.com/WA/Seattle/1610-Belmont-Ave-98122/unit-407/home/12092039,2001,,,,
$270/mo,"2845 E Tracy Ln #3, Phoenix, AZ 85032",,3,"Listing at 2845 E Tracy Ln #3, Phoenix, AZ 85032",83,For sale,"1,548 sq ft",https://ssl.cdn-redfin.com/system_files/media/1138901_JPG/item_42.jpg,#6911186,,270000,$225 ,"$1,401 ",44,Single Family,2190,2025-09-03T01:11:04.068Z,Redfin,1199,https://www.redfin.com/AZ/Phoenix/2845-E-Tracy-Ln-85032/unit-3/home/143493995,1984,[object Object],1850,2530,RentCast
$117/mo,"16735 Ansley Walk Ln #84, Charlotte, NC 28277",4.5,5,"Listing at 16735 Ansley Walk Ln #84, Charlotte, NC 28277",527,COMING SOON ON SEP 5,0.67 acres,https://ssl.cdn-redfin.com/photo/103/bigphoto/436/4296436_0.jpg,#4296436,,1345000,$258 ,"$6,979 ",1244,Single Family,4230,2025-09-03T01:11:41.712Z,Redfin,5219,https://www.redfin.com/NC/Charlotte/16735-Ansley-Walk-Ln-28277/unit-84/home/197554833,2000,[object Object],3640,4810,RentCast
,"1025 Hunter Ave, Columbus, OH 43201",3.5,4,"Listing at 1025 Hunter Ave, Columbus, OH 43201",427,For sale,"3,920 sq ft",https://ssl.cdn-redfin.com/photo/160/bigphoto/213/225033213_2.jpg,#225033213,2 car garage,1139000,$296 ,"$5,910 ",221,Single Family,3580,2025-09-03T01:12:24.074Z,Redfin,3842,https://www.redfin.com/OH/Columbus/1025-Hunter-Ave-43201/home/109576681,2025,[object Object],2700,4470,RentCast
$330/mo,"4031 W Conejos Pl, Denver, CO 80204",4,3,"Listing at 4031 W Conejos Pl, Denver, CO 80204",420,For sale,"1,177 sq ft",https://ssl.cdn-redfin.com/photo/94/bigphoto/977/4213977_0.jpg,#4213977,,900000,$453 ,"$4,670 ",607,Single Family,3150,2025-09-03T01:12:59.298Z,Redfin,1987,https://www.redfin.com/CO/Denver/4031-W-Conejos-Pl-80204/home/104000703,2016,[object Object],2750,3550,RentCast
$350/mo,"1518 SE Main St, Portland, OR 97214",1.5,2,"Listing at 1518 SE Main St, Portland, OR 97214",67,For sale,,https://ssl.cdn-redfin.com/photo/84/bigphoto/567/302035567_0.jpg,#302035567,,350000,$186 ,"$1,816 ",206,Condo,1791,2025-09-03T01:13:32.260Z,Redfin,1877,https://www.redfin.com/OR/Portland/1518-SE-Main-St-97214/home/26509520,1939,,,,
$738/mo,"855 Peachtree St NE #3005, Atlanta, GA 30308",2,2,"Listing at 855 Peachtree St NE #3005, Atlanta, GA 30308",220,For sale,,https://ssl.cdn-redfin.com/photo/82/bigphoto/116/7642116_0.jpg,#7642116,2 car garage,425000,$433 ,"$2,205 ",438,Condo,2135,2025-09-03T01:14:51.919Z,Redfin,982,https://www.redfin.com/GA/Atlanta/855-Peachtree-St-NE-30308/unit-3005/home/28490262,2008,,,,
$577/mo,"860 Peachtree St NE #904, Atlanta, GA 30308",1,1,"Listing at 860 Peachtree St NE #904, Atlanta, GA 30308",170,For sale,875 sq ft,https://ssl.cdn-redfin.com/photo/82/bigphoto/822/7641822_0.jpg,#7641822,,329900,$376 ,"$1,712 ",436,Condo,2166,2025-09-03T01:15:25.898Z,Redfin,877,https://www.redfin.com/GA/Atlanta/860-Peachtree-St-NE-30308/unit-904/home/24784018,2005,,,,
"$6,323/mo","15 Hudson Yards Unit 25H, New York City, NY 10001",3.5,3,"Listing at 15 Hudson Yards Unit 25H, New York City, NY 10001",1943,For sale,,https://ssl.cdn-redfin.com/photo/211/bigphoto/094/RLS20044094_2.jpg,#RLS20044094,,5180000,"$2,333 ","$26,878 ",4792,Single Family,4716,2025-09-03T01:17:27.697Z,Redfin,2220,https://www.redfin.com/NY/New-York/15-Hudson-Yards-10001/unit-25H/home/114903713,2018,,,,
$344/mo,"70 Fenway #24, Boston, MA 02115",1,1,"Listing at 70 Fenway #24, Boston, MA 02115",190,For sale,,https://ssl.cdn-redfin.com/photo/52/bigphoto/420/73423420_0.jpg,#73423420,,599900,"$1,008 ","$3,113 ",195,Condo,2685,2025-09-03T01:18:02.647Z,Redfin,595,https://www.redfin.com/MA/Boston/70-Fenway-02115/unit-24/home/9265655,1920,,,,
"$7,260/mo","314 Commonwealth Ave Ph, Boston, MA 02115",2.5,2,"Listing at 314 Commonwealth Ave Ph, Boston, MA 02115",2058,For sale,,https://ssl.cdn-redfin.com/photo/52/bigphoto/343/73424343_0.jpg,#73424343,4 car garage,6499000,"$1,366 ","$33,722 ",9841,Condo,5143,2025-09-03T01:18:17.868Z,Redfin,4758,https://www.redfin.com/MA/Boston/314-Commonwealth-Ave-02115/Ph/home/187967087,1899,,,,
$421/mo,"17 Symphony Rd #8, Boston, MA 02115",1,4,"Listing at 17 Symphony Rd #8, Boston, MA 02115",412,For sale,"1,022 sq ft",https://ssl.cdn-redfin.com/photo/52/bigphoto/299/73422299_0.jpg,#73422299,,1300000,"$1,272 ","$6,745 ",711,Condo,3453,2025-09-03T01:19:07.849Z,Redfin,1022,https://www.redfin.com/MA/Boston/17-Symphony-Rd-02115/unit-8/home/9267381,1960,,,,
$505/mo,"2656 15th St NW #103, Washington, DC 20009",1,1,"Listing at 2656 15th St NW #103, Washington, DC 20009",70,For sale,,https://ssl.cdn-redfin.com/photo/235/bigphoto/078/DCDC2215078_0.jpg,#DCDC2215078,,349000,$555 ,"$1,811 ",180,Condo,2187,2025-09-03T01:19:59.503Z,Redfin,629,https://www.redfin.com/DC/Washington/2656-15th-St-NW-20009/unit-103/home/23066962,1937,,,,
$768/mo,"2004 11th St NW #326, Washington, DC 20001",2,2,"Listing at 2004 11th St NW #326, Washington, DC 20001",120,For sale,,https://ssl.cdn-redfin.com/photo/235/bigphoto/130/DCDC2218130_0.jpg,#DCDC2218130,1 car garage,599000,$570 ,"$3,108 ",446,Condo,4476,2025-09-03T01:20:40.551Z,Redfin,1051,https://www.redfin.com/DC/Washington/2004-11th-St-NW-20001/unit-326/home/10183358,2000,,,,
$635/mo,"307 Ridgewood Ave #4, Minneapolis, MN 55403",2,2,"Listing at 307 Ridgewood Ave #4, Minneapolis, MN 55403",187,COMING SOON ON SEP 4,0.38 acres,https://ssl.cdn-redfin.com/photo/114/bigphoto/503/6781503_0.jpg,#6781503,,345000,$160 ,"$1,790 ",350,Single Family,2220,2025-09-03T01:21:34.175Z,Redfin,2150,https://www.redfin.com/MN/Minneapolis/307-Ridgewood-Ave-55403/unit-4/home/51464952,1900,,,,
$849/mo,"2600 SW 27th Ave #506, Miami, FL 33133",2,2,"Listing at 2600 SW 27th Ave #506, Miami, FL 33133",317,For sale,,https://ssl.cdn-redfin.com/photo/105/bigphoto/977/A11870977_0.jpg,#A11870977,1 space,475000,$476 ,"$2,465 ",173,Condo,3090,2025-09-03T01:22:54.453Z,Redfin,997,https://www.redfin.com/FL/Miami/2600-SW-27th-Ave-33133/unit-506/home/43362431,2006,[object Object],2890,3300,RentCast
$360/mo,"542 Goldsboro Rd Unit D, Atlanta, GA 30307",1,2,"Listing at 542 Goldsboro Rd Unit D, Atlanta, GA 30307",150,COMING SOON,"1,306 sq ft",https://ssl.cdn-redfin.com/photo/82/bigphoto/171/7642171_1.jpg,#7642171,,290000,$345 ,"$1,505 ",155,Condo,1834,2025-09-03T01:24:03.134Z,Redfin,840,https://www.redfin.com/GA/Atlanta/542-Goldsboro-Rd-NE-30307/unit-D/home/25542469,1951,,,,
$265/mo,"3828 N 32nd St #232, Phoenix, AZ 85018",,2,"Listing at 3828 N 32nd St #232, Phoenix, AZ 85018",69,For sale,934 sq ft,https://ssl.cdn-redfin.com/photo/86/bigphoto/641/6913641_0.jpg,#6913641,,224500,$228 ,"$1,165 ",43,Condo,1610,2025-09-03T01:25:19.255Z,Redfin,986,https://www.redfin.com/AZ/Phoenix/3828-N-32nd-St-85018/unit-232/home/27550114,1967,[object Object],1350,1880,RentCast
$735/mo,"767 Corbett Ave #3, San Francisco, CA 94131",2.5,2,"Listing at 767 Corbett Ave #3, San Francisco, CA 94131",306,For sale,"9,963 sq ft",https://ssl.cdn-redfin.com/photo/9/bigphoto/975/425066975_0.jpg,#425066975,,1149000,$997 ,"$5,962 ",1197,Condo,5860,2025-09-03T01:27:27.827Z,Redfin,1153,https://www.redfin.com/CA/San-Francisco/767-Corbett-Ave-94131/unit-3/home/674205,2000,[object Object],4190,7520,RentCast
$410/mo,"1510 Demonbreun St #807, Nashville, TN 37203",1,1,"Listing at 1510 Demonbreun St #807, Nashville, TN 37203",247,For sale,871 sq ft,https://ssl.cdn-redfin.com/photo/145/bigphoto/830/2987830_0.jpg,#2987830,1 car garage,479000,$610 ,"$2,485 ",230,Condo,2280,2025-09-03T01:29:23.938Z,Redfin,785,https://www.redfin.com/TN/Nashville/1510-Demonbreun-St-37203/unit-807/home/87809457,2009,[object Object],1800,2770,RentCast
$349/mo,"7032 Steinmeier Dr, Indianapolis, IN 46220",2,2,"Listing at 7032 Steinmeier Dr, Indianapolis, IN 46220",137,For sale,"4,530 sq ft",https://ssl.cdn-redfin.com/photo/147/bigphoto/224/22059224_0.jpg,#22059224,,335000,$254 ,"$1,738 ",244,Single Family,1750,2025-09-03T01:30:20.110Z,Redfin,1320,https://www.redfin.com/IN/Indianapolis/7032-Steinmeier-Dr-46220/home/60151749,1987,[object Object],1500,2000,RentCast
$235/mo,"2031 W Evergreen Ave Unit 1W, Chicago, IL 60622",2,2,"Listing at 2031 W Evergreen Ave Unit 1W, Chicago, IL 60622",147,For sale,,https://ssl.cdn-redfin.com/photo/68/bigphoto/450/12460450_1.jpg,#12460450,1 space,400000,$333 ,"$2,076 ",544,Condo,2705,2025-09-03T01:33:00.694Z,Redfin,1200,https://www.redfin.com/IL/Chicago/2031-W-Evergreen-Ave-60622/unit-1W/home/183676771,1997,,,,
$225/mo,"2636 W Evergreen Ave #1, Chicago, IL 60622",3,3,"Listing at 2636 W Evergreen Ave #1, Chicago, IL 60622",256,For sale,,https://ssl.cdn-redfin.com/photo/68/bigphoto/851/12455851_0.jpg,#12455851,1 car garage,699500,$333 ,"$3,630 ",647,Condo,3343,2025-09-03T01:34:29.273Z,Redfin,2100,https://www.redfin.com/IL/Chicago/2636-W-Evergreen-Ave-60622/unit-1/home/195922367,2025,,,,
$150/mo,"2636 W Evergreen Ave #2, Chicago, IL 60622",2,2,"Listing at 2636 W Evergreen Ave #2, Chicago, IL 60622",183,For sale,,https://ssl.cdn-redfin.com/photo/68/bigphoto/847/12455847_0.jpg,#12455847,1 car garage,499500,$384 ,"$2,592 ",139,Condo,2820,2025-09-03T01:34:50.663Z,Redfin,1300,https://www.redfin.com/IL/Chicago/2636-W-Evergreen-Ave-60622/unit-2/home/13288585,2025,[object Object],2380,3270,RentCast
$635/mo,"166 S Hayworth Ave #201, Los Angeles, CA 90048",2,2,"Listing at 166 S Hayworth Ave #201, Los Angeles, CA 90048",372,For sale,0.25 acres,https://ssl.cdn-redfin.com/photo/40/bigphoto/871/25583871_0.jpg,#25583871,,1395000,$835 ,"$7,238 ",1453,Condo,4360,2025-09-03T01:36:20.978Z,Redfin,1671,https://www.redfin.com/CA/Los-Angeles/166-S-Hayworth-Ave-90048/unit-201/home/7093579,1982,[object Object],4200,4520,RentCast
$404/mo,"1000 Providence Pl Unit 384 & ST126, Providence, RI 02903",1,1,"Listing at 1000 Providence Pl Unit 384 & ST126, Providence, RI 02903",205,For sale,,https://ssl.cdn-redfin.com/photo/116/bigphoto/672/1393672_0.jpg,#1393672,2 car garage,320000,$432 ,"$1,660 ",259,Condo,2500,2025-09-03T01:37:22.728Z,Redfin,741,https://www.redfin.com/RI/Providence/903-Providence-Pl-02903/unit-384/home/51731449,2003,[object Object],1390,3600,RentCast
$684/mo,"283 Benefit St Unit D, Providence, RI 02903",2,2,"Listing at 283 Benefit St Unit D, Providence, RI 02903",442,For sale,,https://ssl.cdn-redfin.com/photo/116/bigphoto/859/1392859_1.jpg,#1392859,,689000,$590 ,"$3,575 ",532,Condo,2338,2025-09-03T01:37:49.611Z,Redfin,1167,https://www.redfin.com/RI/Providence/283-Benefit-St-02903/unit-D/home/147316547,1854,,,,
"$1,167/mo","500 W Harbor Dr #1314, San Diego, CA 92101",2,2,"Listing at 500 W Harbor Dr #1314, San Diego, CA 92101",333,For sale,,https://ssl.cdn-redfin.com/photo/48/bigphoto/834/250037834_0.jpg,#250037834,1 car garage,1250000,"$1,073 ","$6,486 ",1302,Condo,5590,2025-09-03T01:39:41.530Z,Redfin,1165,https://www.redfin.com/CA/San-Diego/500-W-Harbor-Dr-92101/unit-1314/home/6489716,1994,[object Object],4520,6650,RentCast
$875/mo,"210 W 5th St #211, Kansas City, MO 64105",2,2,"Listing at 210 W 5th St #211, Kansas City, MO 64105",953,For sale,"2,990 sq ft",https://ssl.cdn-redfin.com/photo/157/bigphoto/244/2569244_2.jpg,#2569244,,1300000,$457 ,"$6,745 ",713,Condo,2690,2025-09-03T01:40:26.448Z,Redfin,2843,https://www.redfin.com/MO/Kansas-City/210-W-5th-St-64105/unit-211/home/93053110,2002,[object Object],2150,3230,RentCast
$899/mo,"600 Ala Moana Blvd #3207, Honolulu, HI 96813",2,2,"Listing at 600 Ala Moana Blvd #3207, Honolulu, HI 96813",168,For sale,,https://ssl.cdn-redfin.com/photo/169/bigphoto/778/202518778_0.jpg,#202518778,2 spaces,1120000,"$1,210 ","$5,811 ",297,Condo,2810,2025-09-03T01:41:54.043Z,Redfin,926,https://www.redfin.com/HI/Honolulu/600-Ala-Moana-Blvd-96813/unit-3207/home/91485678,2016,,,,
$420/mo,"1126 Landmark Trl N, Hopkins, MN 55343",3,2,"Listing at 1126 Landmark Trl N, Hopkins, MN 55343",,For sale,"1,306 sq ft",https://ssl.cdn-redfin.com/photo/114/bigphoto/695/6773695_1.jpg,#6773695,,225000,$188 ,,,Single Family,2100,2025-09-03T01:44:06.314Z,Redfin,1200,https://www.redfin.com/MN/Hopkins/1126-Landmark-Trl-N-55343/home/49938916,1974,[object Object],1850,2350,RentCast
$648/mo,"5428 Rowland Park Rd, Minnetonka, MN 55343",2,4,"Listing at 5428 Rowland Park Rd, Minnetonka, MN 55343",244,For sale,"2,613 sq ft",https://ssl.cdn-redfin.com/photo/114/bigphoto/810/6776810_3.jpg,#6776810,,450000,$211 ,"$2,335 ",367,Single Family,3000,2025-09-03T01:44:35.147Z,Redfin,2136,https://www.redfin.com/MN/Hopkins/5428-Rowland-Park-Rd-55343/home/50007397,1994,[object Object],2490,3500,RentCast
$208/mo,"3104 Brightridge Dr, Las Vegas, NV 89134",2,2,"Listing at 3104 Brightridge Dr, Las Vegas, NV 89134",79,For sale,"7,405 sq ft",https://ssl.cdn-redfin.com/system_files/media/1121586_JPG/item_1.jpg,#2712665,,378000,$342 ,"$1,961 ",176,Single Family,1720,2025-09-03T01:50:24.548Z,Redfin,1105,https://www.redfin.com/NV/Las-Vegas/3104-Brightridge-Dr-89134/home/29148788,1989,[object Object],1470,1970,RentCast
$208/mo,"9312 Yucca Blossom Dr, Las Vegas, NV 89134",2,2,"Listing at 9312 Yucca Blossom Dr, Las Vegas, NV 89134",73,For sale,"7,405 sq ft",https://ssl.cdn-redfin.com/photo/95/bigphoto/308/2714308_0.jpg,#2714308,,350000,$313 ,"$1,816 ",180,Single Family,2219,2025-09-03T01:50:42.729Z,Redfin,1119,https://www.redfin.com/NV/Las-Vegas/9312-Yucca-Blossom-Dr-89134/home/29153638,1991,,,,
$33/mo,"1330 Mohrlake Dr, BRANDON, FL 33511",2,3,"Listing at 1330 Mohrlake Dr, BRANDON, FL 33511",233,For sale,"4,500 sq ft",https://ssl.cdn-redfin.com/photo/118/bigphoto/961/TB8422961_0.jpg,#TB8422961,,349900,$283 ,"$1,816 ",354,Single Family,1840,2025-09-03T01:52:08.006Z,Redfin,1235,https://www.redfin.com/FL/Brandon/1330-Mohrlake-Dr-33511/home/47209055,1991,[object Object],1450,2230,RentCast
$180/mo,"1058 Kingston Grove Dr, Cary, NC 27519",2.5,3,"Listing at 1058 Kingston Grove Dr, Cary, NC 27519",202,For sale,"3,049 sq ft",https://ssl.cdn-redfin.com/system_files/media/1139094_JPG/item_2.jpg,#10118177,,515000,$223 ,"$2,672 ",363,Single Family,3080,2025-09-03T01:52:45.655Z,Redfin,2308,https://www.redfin.com/NC/Cary/1058-Kingston-Grove-Dr-27519/home/41317991,2007,[object Object],2190,3980,RentCast
$250/mo,"1401 W Beacon Hill Dr S #1401, Taylorsville, UT 84123",1,1,"Listing at 1401 W Beacon Hill Dr S #1401, Taylorsville, UT 84123",67,For sale,435 sq ft,https://ssl.cdn-redfin.com/photo/171/bigphoto/088/2108088_5.jpg,#2108088,,260000,$382 ,"$1,349 ",112,Condo,1410,2025-09-03T01:53:32.567Z,Redfin,681,https://www.redfin.com/UT/Taylorsville/1401-Beacon-Hill-Dr-84123/unit-1401/home/197510080,1983,[object Object],1240,1580,RentCast
$375/mo,"12818 SE 41st Ln Unit B103, Bellevue, WA 98006",2,2,"Listing at 12818 SE 41st Ln Unit B103, Bellevue, WA 98006",136,For sale,,https://ssl.cdn-redfin.com/system_files/media/1138801_JPG/item_57.jpg,#2424850,2 spaces,495000,$488 ,"$2,568 ",279,Condo,3162,2025-09-03T01:54:14.888Z,Redfin,1014,https://www.redfin.com/WA/Bellevue/12818-SE-41st-Ln-98006/unit-B103/home/175995307,1980,,,,
$75/mo,"6321 Vista Del Bosque Dr, Albuquerque, NM 87120",2.5,3,"Listing at 6321 Vista Del Bosque Dr, Albuquerque, NM 87120",175,For sale,"3,484 sq ft",https://ssl.cdn-redfin.com/photo/167/bigphoto/496/1090496_0.jpg,#1090496,,429000,$184 ,"$2,226 ",312,Single Family,2351,2025-09-03T01:55:23.793Z,Redfin,2330,https://www.redfin.com/NM/Albuquerque/6321-Vista-del-Bosque-Dr-NW-87120/home/168285856,2019,,,,
$744/mo,"5000 Halifax Ave S #107, Edina, MN 55424",2,2,"Listing at 5000 Halifax Ave S #107, Edina, MN 55424",487,For sale,0.89 acres,https://ssl.cdn-redfin.com/photo/114/bigphoto/037/6769037_0.jpg,#6769037,,899900,$605 ,"$4,669 ",578,Condo,2267,2025-09-03T01:56:13.515Z,Redfin,1488,https://www.redfin.com/MN/Minneapolis/5000-Halifax-Ave-S-55424/unit-107/home/51402193,1994,,,,
$458/mo,"5070 Strawpocket Ln #9, Westerville, OH 43081",2.5,3,"Listing at 5070 Strawpocket Ln #9, Westerville, OH 43081",94,For sale,871 sq ft,https://ssl.cdn-redfin.com/photo/160/bigphoto/301/225032301_D.jpg,#225032301,,249900,$159 ,"$1,297 ",342,Condo,2240,2025-09-03T01:57:02.815Z,Redfin,1570,https://www.redfin.com/OH/Westerville/5070-Strawpocket-Ln-43081/unit-9/home/100778527,1974,[object Object],2100,2370,RentCast
$369/mo,"5326 Branscom Blvd, Westerville, OH 43081",3,3,"Listing at 5326 Branscom Blvd, Westerville, OH 43081",137,For sale,"1,742 sq ft",https://ssl.cdn-redfin.com/photo/160/bigphoto/287/225032287_5.jpg,#225032287,,364900,$215 ,"$1,893 ",383,Condo,2520,2025-09-03T01:57:33.321Z,Redfin,1696,https://www.redfin.com/OH/Westerville/5326-Branscom-Blvd-43081/home/79510173,2001,[object Object],2400,2640,RentCast
$130/mo,"56 Craig Ave, Madison, WI 53705",1,2,"Listing at 56 Craig Ave, Madison, WI 53705",,For sale,,https://ssl.cdn-redfin.com/photo/129/bigphoto/726/2007726_1.jpg,#2007726,,259900,$338 ,,,Condo,1490,2025-09-03T01:58:00.910Z,Redfin,768,https://www.redfin.com/WI/Madison/56-Craig-Ave-53705/home/185068397,1951,[object Object],1400,1590,RentCast
$670/mo,"625 N Segoe Rd #702, Madison, WI 53705",2,1,"Listing at 625 N Segoe Rd #702, Madison, WI 53705",195,For sale,,https://ssl.cdn-redfin.com/photo/129/bigphoto/371/2005371_5.jpg,#2005371,1 space,600000,$416 ,"$3,113 ",798,Condo,2551,2025-09-03T01:58:26.075Z,Redfin,1444,https://www.redfin.com/WI/Madison/625-N-Segoe-Rd-53705/unit-702/home/89927381,2006,,,,
$441/mo,"11300 N Pennsylvania Ave #140, Oklahoma City, OK 73120",2.5,2,"Listing at 11300 N Pennsylvania Ave #140, Oklahoma City, OK 73120",240,For sale,,https://ssl.cdn-redfin.com/photo/163/bigphoto/519/1189519_0.jpg,#1189519,2 car garage,225000,$121 ,"$1,167 ",248,Condo,1360,2025-09-03T02:00:00.684Z,Redfin,1852,https://www.redfin.com/OK/Oklahoma-City/11300-N-Pennsylvania-Ave-73120/unit-140/home/71441336,1983,[object Object],1280,1440,RentCast
$483/mo,"1581 E 6470 S, Murray, UT 84121",3,5,"Listing at 1581 E 6470 S, Murray, UT 84121",168,For sale,435 sq ft,https://ssl.cdn-redfin.com/photo/171/bigphoto/534/2108534_5.jpg,#2108534,,650000,$190 ,"$3,373 ",193,Condo,3230,2025-09-03T02:00:45.312Z,Redfin,3420,https://www.redfin.com/UT/Murray/1581-E-6470-S-84121/home/86463855,1978,,,,
$340/mo,"1632 W Canal Cir #915, Littleton, CO 80120",1,1,"Listing at 1632 W Canal Cir #915, Littleton, CO 80120",128,For sale,,https://ssl.cdn-redfin.com/system_files/media/1137583_JPG/item_1.jpg,#3095086,1 car garage,275000,$373 ,"$1,427 ",147,Condo,1750,2025-09-03T02:01:48.570Z,Redfin,738,https://www.redfin.com/CO/Littleton/1632-W-Canal-Cir-80120/unit-915/home/35040791,1995,[object Object],1700,1810,RentCast
